REGISTRO_OPERADORA;CICLO;TP_AGRUPAMENTO;PCT_UNICO;PCT_AMBULATORIAL;PCT_INT_SEM_OBSTET;PCT_INT_COM_OBSTET;QT_CONTRATOS;QT_BENEF;RAZAO_SOCIAL
000027;2013;"Único";7,93;;;;70;525;"SALUTAR SAÚDE SEGURADORA S.A."
000515;2013;"Único";13,06;;;;1954;25766;"ALLIANZ SAÚDE S/A"
000582;2013;"Único";19,21;;;;2579;61243;"PORTO SEGURO - SEGURO SAÚDE S/A"
000701;2013;"Único";13,98;;;;1126;8694;"UNIMED SEGUROS SAÚDE S/A"
005622;2013;"Único";15,79;;;;461;5413;"SULASAÚDE PARTICIPAÇÕES S.A."
005711;2013;"Único";16,16;;;;56448;395169;"BRADESCO SAÚDE S.A."
006980;2013;"Único";18,57;;;;55;430;"NOTRE DAME SEGURADORA S/A"
300136;2013;"Único";8,29;;;;291;3218;"UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA."
300713;2013;"Único";6,01;;;;38;484;"UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO"
300748;2013;"Único";7,93;;;;45;501;"SANTA CASA DE MISERICÓRDIA DE ARAÇATUBA"
301060;2013;"Único";8,29;;;;39;457;"UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA."
301124;2013;"Único";24,78;;;;116;763;"UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO"
301337;2013;"Único";16,30;;;;22977;99259;"UNIMED PAULISTANA SOCIEDADE COOPERATIVA DE TRABALHO MÉDICO"
301574;2013;"Único";9,63;;;;398;4372;"UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO"
301728;2013;"Único";14,58;;;;833;6320;"PRONTOMED PLANOS DE SAÚDE LTDA"
301744;2013;"Único";12,00;;;;54;525;"UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO"
301906;2013;"Subagrupado";;7,81;7,81;7,81;79;524;"ASSIMEDE ASSISTÊNCIA MÉDICA ESPECIALIZADA LTDA."
302091;2013;"Único";22,31;;;;5239;29712;"SÃO FRANCISCO SISTEMAS DE SAÚDE SOCIEDADE EMPRESÁRIA LIMITADA"
302228;2013;"Único";7,91;;;;46;422;"UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO"
302490;2013;"Único";14,49;;;;300;4100;"PRONTOMED NOVO HAMBURGO LTDA."
302953;2013;"Único";8,28;;;;622;4480;"UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE"
303178;2013;"Único";7,93;;;;54;506;"UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA"
303267;2013;"Único";20,42;;;;1436;7294;"UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO"
303356;2013;"Único";7,91;;;;1507;12403;"UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA"
303844;2013;"Único";5,58;;;;18;201;"UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO"
303976;2013;"Único";13,70;;;;450;4798;"UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO"
304051;2013;"Único";8,29;;;;350;2119;"UNIMED MONTES CLAROS COOPERATIVA DE TRABALHO MÉDICO LTDA."
304107;2013;"Único";8,28;;;;91;894;"VI MED CENTRO MEDICO HOSPITALAR S/S LTDA"
304123;2013;"Único";5,88;;;;26;126;"UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO"
304212;2013;"Único";6,21;;;;99;875;"ON MED ASSISTÊNCIA MÉDICA LTDA"
304344;2013;"Único";8,06;;;;390;1466;"UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA."
304395;2013;"Único";7,30;;;;222;1342;"UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA."
304468;2013;"Único";6,67;;;;396;2918;"UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO"
304701;2013;"Único";13,20;;;;1846;20804;"UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS"
304883;2013;"Único";15,08;;;;364;2190;"UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO"
305227;2013;"Único";20,07;;;;5;47;"UNIMED DO OESTE DO PARANÁ - COOP. DE TRABALHO MEDICO"
305472;2013;"Único";9,19;;;;88;757;"UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA"
305626;2013;"Único";7,81;;;;37;304;"PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A"
